ETF,Short_MA,Long_MA,Total Return,Trade Count
QQQ,15,250,3.44906196277235,16.0
DIA,15,255,1.4896214302975204,21.0
SPY,15,255,2.428257620390187,12.0
QQQ,15,255,3.3121169591362642,14.0
DIA,20,25,2.6262732208306865,121.0
SPY,20,25,1.2442017870472588,132.0
QQQ,20,25,2.180748109201205,132.0
DIA,20,30,1.3047250673652302,91.0
SPY,20,30,1.0987761353916814,87.0
QQQ,20,30,3.4566009072517963,83.0
DIA,20,35,0.6766804597345735,81.0
SPY,20,35,0.3257246023083946,75.0
QQQ,20,35,1.7214237045398368,73.0
DIA,20,40,0.8436235960761498,68.0
SPY,20,40,0.21251240506647795,69.0
QQQ,20,40,1.3696420000454514,64.0
DIA,20,45,0.2857128192389642,60.0
SPY,20,45,0.4565528182928651,63.0
QQQ,20,45,1.724562359097717,56.0
DIA,20,50,0.4475851053730182,58.0
SPY,20,50,0.5900415661202318,58.0
QQQ,20,50,2.8268983649173243,50.0
DIA,20,55,0.6269123470745974,55.0
SPY,20,55,0.7894255816260505,53.0
QQQ,20,55,2.834493088373771,45.0
DIA,20,60,0.6286809455128721,49.0
SPY,20,60,0.7137870589863942,47.0
QQQ,20,60,2.727723085638144,45.0
DIA,20,65,0.7597706058789693,42.0
SPY,20,65,0.8870128916054518,41.0
QQQ,20,65,1.8407820399898616,44.0
DIA,20,70,0.48159753747229894,39.0
SPY,20,70,0.7131562507518903,41.0
QQQ,20,70,2.0479651524052263,44.0
DIA,20,75,0.4343870558159688,39.0
SPY,20,75,0.7353356601253414,40.0
QQQ,20,75,0.6445662225500086,40.0
DIA,20,80,0.6214272313215969,41.0
SPY,20,80,0.9090986809191866,35.0
QQQ,20,80,1.18500756209614,35.0
DIA,20,85,0.7149203745028294,41.0
SPY,20,85,0.8878388523733522,39.0
QQQ,20,85,1.733761592358729,35.0
DIA,20,90,0.9919693108525749,37.0
SPY,20,90,1.157092961527034,32.0
QQQ,20,90,1.3130410203934328,33.0
DIA,20,95,0.8824470184041557,38.0
SPY,20,95,0.8737795176721639,33.0
QQQ,20,95,1.6350964548045157,30.0
DIA,20,100,0.7959459604899817,40.0
SPY,20,100,0.8204926033516531,33.0
QQQ,20,100,1.535358321048692,29.0
DIA,20,105,0.4779084167708776,38.0
SPY,20,105,0.8255480212155333,33.0
QQQ,20,105,1.3184156245659748,27.0
DIA,20,110,0.409499248811396,36.0
SPY,20,110,1.0395820138713243,32.0
QQQ,20,110,1.7594991643590001,26.0
DIA,20,115,0.5528402706256466,36.0
SPY,20,115,0.6985108839934617,29.0
QQQ,20,115,1.8651406337129792,26.0
DIA,20,120,0.5064411176984369,38.0
SPY,20,120,0.9392473426858863,28.0
QQQ,20,120,1.8981202967471158,26.0
DIA,20,125,0.44108666505290506,34.0
SPY,20,125,0.9202774071325168,27.0
QQQ,20,125,1.6750045946043097,26.0
DIA,20,130,0.6783736731946515,35.0
SPY,20,130,0.9856903205770919,27.0
QQQ,20,130,2.049173268043519,22.0
DIA,20,135,0.6732292971747331,33.0
SPY,20,135,1.1588856865629404,26.0
QQQ,20,135,1.5869504355738417,27.0
DIA,20,140,0.9149979462710927,34.0
SPY,20,140,1.1298699093309104,26.0
QQQ,20,140,1.5506927954136738,24.0
DIA,20,145,0.9081480023041353,35.0
SPY,20,145,1.4093895705723334,27.0
QQQ,20,145,1.4047200606220112,24.0
DIA,20,150,0.8965850385158163,33.0
SPY,20,150,1.421202405694853,24.0
QQQ,20,150,1.3898376412414626,26.0
DIA,20,155,0.7471893846129298,35.0
SPY,20,155,1.9035198391699386,19.0
QQQ,20,155,1.5913305825704094,24.0
DIA,20,160,0.7836036440864969,33.0
SPY,20,160,2.165225809329714,17.0
QQQ,20,160,1.9260041757221136,24.0
DIA,20,165,0.6677236551664327,31.0
SPY,20,165,2.3186814562464675,14.0
QQQ,20,165,1.7107069491601723,24.0
DIA,20,170,1.0108734242928517,28.0
SPY,20,170,2.6748982871777987,14.0
QQQ,20,170,1.3494700338973211,26.0
DIA,20,175,0.9213066397571692,27.0
SPY,20,175,2.50614152335898,13.0
QQQ,20,175,1.1834385827157359,27.0
DIA,20,180,1.1383912709398194,25.0
SPY,20,180,2.785443720809032,13.0
QQQ,20,180,1.3374400149822927,27.0
DIA,20,185,1.1560845577013232,23.0
SPY,20,185,2.1766701890468103,13.0
QQQ,20,185,1.5664676785902474,25.0
DIA,20,190,0.9147212349682352,22.0
SPY,20,190,2.290737965332805,13.0
QQQ,20,190,2.0137950692957083,23.0
DIA,20,195,1.0393610726852396,23.0
SPY,20,195,2.2374205592743825,12.0
QQQ,20,195,2.1666454839911466,22.0
DIA,20,200,1.0931879164014022,23.0
SPY,20,200,2.2116556131992797,14.0
QQQ,20,200,2.318797078412614,21.0
DIA,20,205,1.2115430292723701,22.0
SPY,20,205,2.1881643185454998,12.0
QQQ,20,205,2.6815347944316135,20.0
DIA,20,210,1.254600708158629,24.0
SPY,20,210,2.2930881748889584,12.0
QQQ,20,210,3.008254551588685,19.0
DIA,20,215,1.045344605980771,25.0
SPY,20,215,2.4756803749818306,13.0
QQQ,20,215,3.0738903031159692,17.0
DIA,20,220,0.9806330829002143,22.0
SPY,20,220,2.5589215498951337,13.0
QQQ,20,220,3.1344052270172167,15.0
DIA,20,225,1.1038213153644505,22.0
SPY,20,225,2.406447803573411,13.0
QQQ,20,225,3.212764945717211,15.0
DIA,20,230,1.0867742276294634,21.0
SPY,20,230,2.3927685415886923,13.0
QQQ,20,230,3.1483950075873066,15.0
DIA,20,235,1.1932638748324034,19.0
SPY,20,235,2.330023144568192,13.0
QQQ,20,235,3.130763439284742,15.0
DIA,20,240,1.1864490681080437,19.0
SPY,20,240,2.275258479287144,12.0
QQQ,20,240,3.4935177708793503,15.0
DIA,20,245,1.1782488164665965,17.0
SPY,20,245,2.3010080063923803,12.0
QQQ,20,245,3.76817381020025,13.0
DIA,20,250,1.3076026397053422,15.0
SPY,20,250,2.2367725016947015,11.0
QQQ,20,250,3.846308697403031,13.0
DIA,20,255,1.3808628775639593,15.0
SPY,20,255,2.2943107257067186,10.0
QQQ,20,255,3.9047606400454455,13.0
DIA,25,30,0.38985446915469124,118.0
SPY,25,30,0.12502063149650522,109.0
QQQ,25,30,1.65711011964201,109.0
DIA,25,35,0.3916623963355583,89.0
SPY,25,35,-0.06256531468448623,81.0
QQQ,25,35,0.9242770169501331,74.0
DIA,25,40,0.4415396966569445,70.0
SPY,25,40,0.31735423106088834,70.0
QQQ,25,40,1.2432617533396924,65.0
DIA,25,45,0.4074005676005674,60.0
SPY,25,45,0.17041875902432313,61.0
QQQ,25,45,1.955834601416616,57.0
DIA,25,50,0.6885564903142296,56.0
SPY,25,50,0.3544481714800307,55.0
QQQ,25,50,2.0496820247850045,50.0
DIA,25,55,0.4145430183068486,56.0
SPY,25,55,0.7075901015260815,51.0
QQQ,25,55,2.4878352766567193,44.0
DIA,25,60,0.6272193292908648,43.0
SPY,25,60,0.6011392483217599,44.0
QQQ,25,60,2.7125039942482636,43.0
DIA,25,65,0.7317919408278464,40.0
SPY,25,65,0.7300889206523777,41.0
QQQ,25,65,1.8912580076587058,43.0
