Date,QQQ,SPY,DIA
1999-06-30,0.015300587096929818,0.017951856104595598,0.016129567065183505
1999-07-01,0.006756042248324516,0.007498774741038558,0.012210267355266273
1999-07-02,0.012578956742401958,0.009912122813688317,0.008431542716317979
1999-07-06,-0.006403756892477526,-0.00022389371586183196,-0.0022422783811428576
1999-07-07,0.0016051149575576989,0.0013442590639608364,0.0014016176089423034
1999-07-08,0.013272701685269814,0.0007832235366738528,-0.0036478567029463345
1999-07-09,0.009971286029158115,0.005911788460707496,0.008119948175653122
1999-07-12,-0.005235311075973841,-0.004457866845650685,-0.0019528812921449606
1999-07-13,-0.004735974953184328,-0.003581404215691556,0.0005574031965826395
1999-07-14,0.01686684146579601,0.00558987366038438,-0.002235952604944022
1999-07-15,0.009163403327707965,0.006334471386992147,0.0004192606780205005
